time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,13,7,0,0
2026-04-17 00:00:00+00:00,27,10,0,0
2026-04-18 00:00:00+00:00,11,5,0,0
2026-04-19 00:00:00+00:00,31,12,1,1
2026-04-20 00:00:00+00:00,37,17,0,0
2026-04-21 00:00:00+00:00,47,21,0,0
2026-04-22 00:00:00+00:00,78,28,0,0
2026-04-23 00:00:00+00:00,66,24,0,0
2026-04-24 00:00:00+00:00,86,31,0,0
2026-04-25 00:00:00+00:00,44,16,2,1
2026-04-26 00:00:00+00:00,24,8,1,1
2026-04-27 00:00:00+00:00,7,2,1,1
2026-04-28 00:00:00+00:00,30,9,2,1
2026-04-29 00:00:00+00:00,19,8,0,0
